"customer_id","transaction_id","feedback","rating"
"C1010","123002578","Quick delivery and fantastic service.","4.00"
"C485","123004074","Very disappointing, poor quality.","1.00"
"C1635","123000871","It's okay, not bad but nothing special.","3.00"
"C752","123002851","Excellent product, highly recommended!","4.00"
"C1541","123003607","Great quality, very satisfied with the purchase.","5.00"
"C1221","123000487","Amazing experience, will definitely buy again!","5.00"
"C734","123006324","Amazing experience, will definitely buy again!","5.00"
"C429","123005769","It's okay, not bad but nothing special.","4.00"
"C1604","123008467","Quick delivery and fantastic service.","4.00"
"C1253","123008924","It's okay, not bad but nothing special.","3.00"
"C110","123006398","Excellent product, highly recommended!","4.00"
"C9","123009762","Quick delivery and fantastic service.","5.00"
"C1667","123009779","Service was satisfactory but not outstanding.","4.00"
"C1042","123005849","Great quality, very satisfied with the purchase.","5.00"
"C489","123009881","Great quality, very satisfied with the purchase.","5.00"
"C164","123009905","Product exceeded expectations, works perfectly.","5.00"
"C1437","123009956","Average experience, acceptable for the price.","3.00"
"C1747","123008541","Quick delivery and fantastic service.","5.00"
"C650","123009987","Great quality, very satisfied with the purchase.","4.00"
"C1541","123009996","Amazing experience, will definitely buy again!","4.00"
"C1620","123006561","Not worth the money, completely unsatisfactory.","2.00"
"C115","123006600","Not worth the money, completely unsatisfactory.","2.00"
"C1285","123008945","Amazing experience, will definitely buy again!","4.00"
"C1604","123010084","Service was satisfactory but not outstanding.","4.00"
"C629","123008948","Product exceeded expectations, works perfectly.","4.00"
"C1110","123008591","Product is fine but could be improved.","4.00"
"C787","123006672","Product exceeded expectations, works perfectly.","5.00"
"C64","123010227","Quick delivery and fantastic service.","5.00"
"C16","123006707","Excellent product, highly recommended!","5.00"
"C986","123010254","Great quality, very satisfied with the purchase.","4.00"
"C1198","123009270","Product exceeded expectations, works perfectly.","5.00"
"C299","123010296","Product exceeded expectations, works perfectly.","4.00"
"C360","123008037","Quick delivery and fantastic service.","4.00"
"C1330","123008053","Product arrived damaged, not happy with the service.","1.00"
"C1505","123008997","Excellent product, highly recommended!","4.00"
"C1268","123009271","Amazing experience, will definitely buy again!","5.00"
"C50","123010388","It's okay, not bad but nothing special.","4.00"
"C381","123008662","Great quality, very satisfied with the purchase.","5.00"
"C1224","123010401","Quick delivery and fantastic service.","4.00"
"C429","123008100","Quick delivery and fantastic service.","4.00"
"C707","123010492","Product exceeded expectations, works perfectly.","5.00"
"C1645","123006897","Great quality, very satisfied with the purchase.","5.00"
"C985","123009289","It's okay, not bad but nothing special.","4.00"
"C1291","123007162","Product exceeded expectations, works perfectly.","4.00"
"C1004","123005983","Quick delivery and fantastic service.","5.00"
"C1061","123010577","Very disappointing, poor quality.","1.00"
"C996","123010597","It's okay, not bad but nothing special.","3.00"
"C391","123009293","Excellent product, highly recommended!","5.00"
"C1221","123006025","Product exceeded expectations, works perfectly.","4.00"
"C1341","123010721","Amazing experience, will definitely buy again!","5.00"
"C1180","123008749","Quick delivery and fantastic service.","4.00"
"C1390","123010782","Service was satisfactory but not outstanding.","4.00"
"C1610","123010869","Product arrived damaged, not happy with the service.","2.00"
"C1700","123006992","Amazing experience, will definitely buy again!","5.00"
"C287","123010943","Quick delivery and fantastic service.","5.00"
"C338","123010973","Product exceeded expectations, works perfectly.","5.00"
"C1230","123010979","Quick delivery and fantastic service.","4.00"
"C949","123007573","Quick delivery and fantastic service.","5.00"
"C1731","123007583","Excellent product, highly recommended!","4.00"
"C428","123011082","Amazing experience, will definitely buy again!","4.00"
"C452","123011212","Quick delivery and fantastic service.","4.00"
"C685","123007173","Quick delivery and fantastic service.","4.00"
"C966","123006109","Quick delivery and fantastic service.","5.00"
"C1740","123008192","Product exceeded expectations, works perfectly.","5.00"
"C460","123009072","Product exceeded expectations, works perfectly.","5.00"
"C929","123007641","Amazing experience, will definitely buy again!","5.00"
"C1398","123008196","Product is fine but could be improved.","3.00"
"C318","123008210","Excellent product, highly recommended!","4.00"
"C1479","123008222","Great quality, very satisfied with the purchase.","4.00"
"C599","123006126","Decent product, meets the basic needs.","4.00"
"C566","123008247","Amazing experience, will definitely buy again!","5.00"
