"stock_id","store_id","product_id","quantity","last_stocked_date"
"S1","1","P1",247,"2023-05-22"
"S2","2","P1",920,"2023-07-08"
"S3","3","P1",696,"2023-08-30"
"S4","4","P1",772,"2024-11-12"
"S5","5","P1",980,"2023-07-16"
"S6","1","P2",284,"2023-11-28"
"S7","2","P2",498,"2024-09-05"
"S8","3","P2",658,"2024-10-25"
"S9","4","P2",907,"2024-03-14"
"S10","5","P2",327,"2023-10-03"
"S11","1","P4",598,"2023-11-17"
"S12","2","P4",233,"2023-12-29"
"S13","3","P4",650,"2024-05-18"
"S14","4","P4",947,"2024-06-07"
"S15","5","P4",728,"2024-09-28"
"S16","1","P5",63,"2024-05-08"
"S17","2","P5",157,"2023-11-14"
"S18","3","P5",114,"2023-10-25"
"S19","4","P5",963,"2023-10-26"
"S20","5","P5",923,"2024-03-28"
"S21","1","P6",902,"2024-10-27"
"S22","2","P6",552,"2024-05-27"
"S23","3","P6",444,"2024-10-26"
"S24","4","P6",985,"2023-10-01"
"S25","5","P6",151,"2024-01-23"
"S26","1","P7",320,"2024-10-07"
"S27","2","P7",591,"2023-10-24"
"S28","3","P7",207,"2023-10-16"
"S29","4","P7",363,"2023-09-07"
"S30","5","P7",369,"2023-11-28"
"S31","1","P8",216,"2023-11-08"
"S32","2","P8",930,"2023-12-18"
"S33","3","P8",150,"2024-06-07"
"S34","4","P8",80,"2024-11-04"
"S35","5","P8",44,"2024-08-07"
"S36","1","P9",850,"2024-07-27"
"S37","2","P9",891,"2024-08-09"
"S38","3","P9",862,"2023-07-02"
"S39","4","P9",280,"2024-04-28"
"S40","5","P9",312,"2024-06-20"
"S41","1","P10",432,"2023-07-29"
"S42","2","P10",219,"2023-10-20"
"S43","3","P10",273,"2024-09-30"
"S44","4","P10",851,"2023-07-07"
"S45","5","P10",557,"2023-12-20"
"S46","1","P11",957,"2023-12-02"
"S47","2","P11",12,"2024-08-14"
"S48","3","P11",602,"2024-06-25"
"S49","4","P11",23,"2023-08-04"
"S50","5","P11",243,"2024-07-22"
"S51","1","P12",763,"2024-09-19"
"S52","2","P12",814,"2023-05-21"
"S53","3","P12",61,"2024-05-15"
"S54","4","P12",524,"2024-04-02"
"S55","5","P12",236,"2024-01-31"
"S56","1","P13",901,"2024-08-24"
