"product_id","vendor_id","supply_frequency"
"P1","V1","Quarterly"
"P2","V2","Monthly"
"P3","V3","Quarterly"
"P4","V4","On-Demand"
"P5","V5","Daily"
"P6","V2","Quarterly"
"P7","V6","Monthly"
"P8","V7","Quarterly"
"P9","V8","Quarterly"
"P10","V9","Quarterly"
"P11","V10","Monthly"
"P12","V3","Bi-weekly"
"P13","V1","Bi-weekly"
"P14","V11","Daily"
"P15","V7","Monthly"
"P16","V12","Weekly"
"P17","V13","Monthly"
"P18","V14","Weekly"
"P19","V15","Weekly"
"P20","V16","Weekly"
"P21","V17","Monthly"
"P22","V18","Quarterly"
"P23","V2","Weekly"
"P24","V2","Weekly"
"P25","V17","Quarterly"
"P26","V14","Daily"
"P27","V17","Weekly"
"P28","V18","Quarterly"
"P29","V8","Weekly"
"P30","V11","Daily"
"P31","V15","On-Demand"
"P32","V10","Weekly"
"P33","V19","Daily"
"P34","V7","Bi-weekly"
"P35","V18","Quarterly"
"P36","V1","Monthly"
"P37","V8","Quarterly"
"P38","V16","Quarterly"
"P39","V10","Weekly"
"P40","V20","Monthly"
"P41","V21","Bi-weekly"
"P42","V16","Daily"
"P43","V19","Weekly"
"P44","V8","Monthly"
"P45","V22","Weekly"
"P46","V23","Daily"
"P47","V24","Quarterly"
"P48","V15","Monthly"
"P49","V10","Weekly"
"P50","V22","Bi-weekly"
"P51","V3","Weekly"
"P52","V8","Daily"
"P53","V22","Weekly"
"P54","V21","Quarterly"
"P55","V2","Bi-weekly"
"P56","V5","Bi-weekly"
"P57","V24","Weekly"
"P58","V25","Weekly"
"P59","V26","Bi-weekly"
"P60","V22","Weekly"
"P61","V6","Bi-weekly"
"P62","V4","On-Demand"
"P63","V25","Quarterly"
"P64","V4","Monthly"
"P65","V9","Bi-weekly"
"P66","V18","Weekly"
"P67","V25","On-Demand"
"P68","V24","On-Demand"
"P69","V8","Daily"
"P70","V4","Daily"
"P71","V5","Daily"
"P72","V19","Bi-weekly"
"P73","V10","On-Demand"
"P74","V11","Quarterly"
"P75","V3","Weekly"
"P76","V23","Daily"
"P77","V12","Weekly"
"P78","V8","Weekly"
"P79","V7","Bi-weekly"
"P80","V10","Daily"
"P81","V16","Quarterly"
"P82","V27","Quarterly"
"P83","V24","Weekly"
"P84","V4","Monthly"
"P85","V9","Bi-weekly"
"P86","V18","Daily"
"P87","V4","On-Demand"
"P88","V13","Bi-weekly"
"P89","V24","Monthly"
"P90","V20","Daily"
"P91","V26","Weekly"
"P92","V5","Quarterly"
"P93","V8","Quarterly"
"P94","V23","Quarterly"
"P95","V27","Monthly"
"P96","V14","Quarterly"
