"transaction_id","product_id","quantity"
"123000012","P112",2
"123000012","P125",3
"123000012","P74",2
"123000012","P885",2
"123000012","P911",2
"123000012","P98",2
"123000064","P1276",2
"123000064","P205",2
"123000064","P291",3
"123000064","P42",3
"123000064","P662",1
"123000064","P666",2
"123000121","P1",2
"123000121","P205",2
"123000121","P499",3
"123000121","P510",2
"123000121","P522",2
"123000121","P832",2
"123000121","P907",1
"123000121","P948",3
"123000136","P100",1
"123000136","P126",2
"123000161","P1344",3
"123000161","P1456",1
"123000161","P17",3
"123000161","P20",2
"123000161","P690",2
"123000161","P936",3
"123000193","P449",3
"123000193","P454",3
"123000193","P466",3
"123000193","P501",3
"123000193","P655",1
"123000193","P72",3
"123000193","P963",2
"123000203","P963",1
"123000229","P1257",3
"123000229","P14",2
"123000229","P1463",2
"123000229","P223",3
"123000229","P224",2
"123000229","P667",3
"123000287","P1232",2
"123000287","P1341",1
"123000287","P17",1
"123000287","P199",1
"123000287","P203",3
"123000287","P210",3
"123000287","P301",2
"123000287","P31",3
"123000287","P327",3
"123000287","P572",3
"123000290","P1041",2
"123000290","P1276",3
"123000290","P184",1
"123000290","P226",2
"123000299","P458",3
"123000299","P910",3
"123000315","P267",1
"123000349","P108",2
"123000349","P111",1
"123000349","P187",2
"123000349","P189",2
"123000349","P479",1
"123000349","P495",3
"123000349","P513",3
"123000349","P524",3
"123000349","P917",1
"123000372","P100",3
"123000396","P1039",1
"123000396","P1055",1
"123000396","P140",2
"123000396","P159",2
"123000396","P161",3
"123000396","P74",3
"123000396","P792",3
"123000396","P80",2
"123000396","P890",3
"123000396","P893",2
"123000403","P200",3
"123000403","P43",3
"123000403","P466",3
"123000403","P535",2
"123000403","P923",3
"123000408","P1238",2
"123000408","P15",3
"123000408","P321",1
"123000441","P106",1
"123000441","P107",3
"123000441","P115",3
"123000441","P131",1
"123000441","P132",2
"123000441","P161",1
"123000441","P267",1
"123000441","P269",2
"123000442","P102",3
"123000442","P106",2
"123000442","P132",3
"123000442","P137",3
"123000442","P159",1
"123000442","P168",3
"123000442","P50",3
"123000442","P73",3
"123000442","P80",2
"123000468","P8",1
"123000487","P1303",1
"123000487","P1322",3
"123000487","P1441",2
"123000487","P203",1
"123000487","P476",2
"123000487","P92",3
"123000487","P989",3
"123000537","P1041",3
"123000537","P183",2
"123000537","P807",3
"123000603","P1001",3
"123000603","P261",2
"123000603","P488",2
"123000603","P493",3
"123000603","P495",2
"123000603","P527",3
"123000603","P538",3
"123000603","P6",3
"123000603","P693",2
"123000603","P832",3
"123000656","P1338",2
"123000656","P1342",2
"123000656","P21",2
"123000656","P26",2
"123000656","P460",1
"123000656","P542",3
"123000664","P1342",1
"123000664","P215",2
"123000664","P318",2
"123000664","P455",2
"123000664","P488",3
"123000664","P537",1
"123000664","P793",2
"123000664","P820",3
"123000669","P1",2
"123000669","P1033",2
"123000669","P1086",3
"123000669","P13",3
"123000669","P1322",3
"123000669","P1456",1
"123000669","P3",3
"123000669","P9",1
"123000669","P911",2
"123000676","P1036",2
"123000676","P1041",1
"123000676","P263",3
"123000676","P908",1
"123000691","P227",2
"123000739","P1030",2
"123000739","P1338",1
"123000739","P1344",3
"123000739","P1393",3
"123000739","P14",3
